StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,att1,att2,blame_noah_1,blame_robocar_1,blame_robodrive_1,anger_robodrive_1,punish_robodrive_1,moral_bad_robodrive_1,donate_robodrive_1,volunteer_robodrive_1,protest_robodrive_1,soc_media_robodrive_1,likeminded_robodrive_1,nonlike_robodrive_1,AC_3_intent_pedestri,AC_4_intent_pedestri,blame_noah_1,blame_robocar_1,blame_robodrive_1,anger_robodrive_1,punish_robodrive_1,moral_bad_robodrive_1,donate_robodrive_1,volunteer_robodrive_1,protest_robodrive_1,soc_media_robodrive_1,likeminded_robodrive_1,nonlike_robodrive_1,AC_3_intent_driver,AC_4_intent_driver,blame_noah_1,blame_robocar_1,blame_robodrive_1,anger_robodrive_1,punish_robodrive_1,moral_bad_robodrive_1,donate_robodrive_1,volunteer_robodrive_1,protest_robodrive_1,soc_media_robodrive_1,likeminded_robodrive_1,nonlike_robodrive_1,AC_3_random_pedestri,AC_4_random_pedestri,blame_noah_1,blame_robocar_1,blame_robodrive_1,anger_robodrive_1,punish_robodrive_1,moral_bad_robodrive_1,donate_robodrive_1,volunteer_robodrive_1,protest_robodrive_1,soc_media_robodrive_1,likeminded_robodrive_1,nonlike_robodrive_1,AC_3_random_driver,AC_4_random_driver,gender,gender_4_TEXT,ethnicity,ethnicity_5_TEXT,age,education,education_9_TEXT,comments,FL_4_DO,Page1:BlameworthinessQuestions_DO,Page2:MoralOutrageQuestions_DO,Page3:CollectiveActionQuestions_DO,Page1:BlameworthinessQuestions_DO,Page2:MoralOutrageQuestions_DO,Page3:CollectiveActionQuestions_DO,Page1:BlameworthinessQuestions_DO,Page2:MoralOutrageQuestions_DO,Page3:CollectiveActionQuestions_DO,Page1:BlameworthinessQuestions_DO,Page2:MoralOutrageQuestions_DO,Page3:CollectiveActionQuestions_DO
7/6/21 23:44,7/6/21 23:46,0,69.143.183.75,100,90,1,7/6/21 23:46,R_x6kHEO4Yd3r5HdT,,,,,39.33050537,-76.49590302,anonymous,EN,2,2,,,,,,,,,,,,,,,10,100,100,0,50,50,0,0,0,0,10,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,25,2,,,FL_9,,,,intentional_driver|blame_noah|blame_robodrive|blame_robocar,intentional_driver|punish_robodrive|moral_bad_robodrive|anger_robodrive,intentional_driver|nonlike_robodrive|soc_media_robodrive|protest_robodrive|volunteer_robodrive|donate_robodrive|likeminded_robodrive,,,,,,
7/6/21 23:44,7/6/21 23:46,0,72.24.233.212,100,129,1,7/6/21 23:46,R_12ybjzi1EI2ibwy,,,,,34.60110474,-112.3258972,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,61,72,41,24,47,3,17,1,17,40,30,2,1,1,,1,,30,5,,,FL_11,,,,,,,,,,random_driver|blame_robocar|blame_robodrive|blame_noah,random_driver|punish_robodrive|moral_bad_robodrive|anger_robodrive,random_driver|volunteer_robodrive|soc_media_robodrive|likeminded_robodrive|nonlike_robodrive|protest_robodrive|donate_robodrive
7/6/21 23:45,7/6/21 23:46,0,73.130.10.108,100,88,1,7/6/21 23:46,R_W9x5nZ0O2gz4FSF,,,,,40.2743988,-76.70619965,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,100,100,100,100,100,0,0,0,0,70,0,2,2,,,,,,,,,,,,,,,1,,1,,48,2,,,FL_10,,,,,,,random_pedestri|blame_robodrive|blame_robocar|blame_noah,random_pedestri|punish_robodrive|moral_bad_robodrive|anger_robodrive,random_pedestri|protest_robodrive|soc_media_robodrive|nonlike_robodrive|volunteer_robodrive|likeminded_robodrive|donate_robodrive,,,
7/6/21 23:45,7/6/21 23:46,0,50.106.198.55,100,67,1,7/6/21 23:46,R_O2lMRgwEGKmFPjP,,,,,39.73429871,-90.22910309,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,,1,,33,5,,,FL_11,,,,,,,,,,random_driver|blame_robocar|blame_robodrive|blame_noah,random_driver|anger_robodrive|punish_robodrive|moral_bad_robodrive,random_driver|volunteer_robodrive|donate_robodrive|nonlike_robodrive|soc_media_robodrive|protest_robodrive|likeminded_robodrive
7/6/21 23:46,7/6/21 23:48,0,68.13.241.158,100,85,1,7/6/21 23:48,R_2tyDWnOXLK3QwlG,,,,,36.09440613,-95.97170258,anonymous,EN,2,2,,,,,,,,,,,,,,,5,100,80,82,75,93,5,16,11,20,80,40,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,31,2,,,FL_9,,,,intentional_driver|blame_robodrive|blame_noah|blame_robocar,intentional_driver|punish_robodrive|anger_robodrive|moral_bad_robodrive,intentional_driver|soc_media_robodrive|volunteer_robodrive|protest_robodrive|likeminded_robodrive|donate_robodrive|nonlike_robodrive,,,,,,
7/6/21 23:47,7/6/21 23:48,0,173.73.32.51,100,27,1,7/6/21 23:48,R_2zRPTkvcmy842yd,,,,,38.74809265,-77.23829651,anonymous,EN,2,2,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,1,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,1,,,FL_9,,,,intentional_driver|blame_robodrive|blame_robocar|blame_noah,intentional_driver|punish_robodrive|moral_bad_robodrive|anger_robodrive,intentional_driver|volunteer_robodrive|protest_robodrive|soc_media_robodrive|donate_robodrive|likeminded_robodrive|nonlike_robodrive,,,,,,
7/6/21 23:45,7/6/21 23:48,0,71.197.114.48,100,201,1,7/6/21 23:48,R_XpQZYcXL8xiGKiJ,,,,,38.69749451,-121.2714005,anonymous,EN,2,2,1,80,99,89,98,91,93,82,80,97,87,9,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,31,4,,no,FL_8,intentional_pedestri|blame_robocar|blame_robodrive|blame_noah,intentional_pedestri|punish_robodrive|moral_bad_robodrive|anger_robodrive,intentional_pedestri|soc_media_robodrive|volunteer_robodrive|donate_robodrive|nonlike_robodrive|likeminded_robodrive|protest_robodrive,,,,,,,,,
7/6/21 23:47,7/6/21 23:49,0,104.224.29.135,100,78,1,7/6/21 23:49,R_3G8w9rtI45VgDHV,,,,,39.01800537,-77.53900146,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,44,73,27,47,54,42,42,29,61,71,56,1,1,,,,,,,,,,,,,,,1,,1,,30,5,,none,FL_10,,,,,,,random_pedestri|blame_noah|blame_robodrive|blame_robocar,random_pedestri|punish_robodrive|anger_robodrive|moral_bad_robodrive,random_pedestri|likeminded_robodrive|volunteer_robodrive|donate_robodrive|soc_media_robodrive|protest_robodrive|nonlike_robodrive,,,
7/6/21 23:46,7/6/21 23:49,0,96.252.59.121,100,158,1,7/6/21 23:49,R_2amircKr9t2PShW,,,,,41.97390747,-71.32839966,anonymous,EN,2,2,6,3,91,100,100,100,0,0,0,0,50,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,49,5,,no,FL_8,intentional_pedestri|blame_robocar|blame_noah|blame_robodrive,intentional_pedestri|anger_robodrive|punish_robodrive|moral_bad_robodrive,intentional_pedestri|soc_media_robodrive|volunteer_robodrive|protest_robodrive|likeminded_robodrive|donate_robodrive|nonlike_robodrive,,,,,,,,,
7/6/21 23:48,7/6/21 23:49,0,68.8.163.160,100,88,1,7/6/21 23:49,R_1Oy5dZPNhVg0L6F,,,,,32.71040344,-117.0527954,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,100,100,50,50,0,0,0,0,100,100,2,1,1,,1,,39,2,,,FL_11,,,,,,,,,,random_driver|blame_noah|blame_robocar|blame_robodrive,random_driver|anger_robodrive|punish_robodrive|moral_bad_robodrive,random_driver|volunteer_robodrive|protest_robodrive|donate_robodrive|likeminded_robodrive|soc_media_robodrive|nonlike_robodrive
7/6/21 23:50,7/6/21 23:52,0,71.238.41.185,100,124,1,7/6/21 23:52,R_vdDBo7hZCKv68X7,,,,,45.37159729,-122.7655945,anonymous,EN,2,2,0,100,100,96,100,82,64,11,23,75,100,93,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,34,2,,,FL_8,intentional_pedestri|blame_robodrive|blame_noah|blame_robocar,intentional_pedestri|moral_bad_robodrive|anger_robodrive|punish_robodrive,intentional_pedestri|nonlike_robodrive|soc_media_robodrive|donate_robodrive|likeminded_robodrive|protest_robodrive|volunteer_robodrive,,,,,,,,,
7/6/21 23:50,7/6/21 23:52,0,24.181.229.118,100,91,1,7/6/21 23:52,R_2mBXtXexY25X3Md,,,,,42.29170227,-71.78579712,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,100,100,100,100,100,87,100,100,74,100,90,2,2,,,,,,,,,,,,,,,1,,1,,38,4,,,FL_10,,,,,,,random_pedestri|blame_noah|blame_robocar|blame_robodrive,random_pedestri|anger_robodrive|punish_robodrive|moral_bad_robodrive,random_pedestri|protest_robodrive|volunteer_robodrive|nonlike_robodrive|donate_robodrive|soc_media_robodrive|likeminded_robodrive,,,
7/6/21 23:44,7/6/21 23:53,0,24.236.88.53,100,538,1,7/6/21 23:53,R_3qkE6b9L2ycLoE2,,,,,27.78889465,-82.71920013,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,55,49,34,11,32,1,0,14,2,65,27,1,1,1,,1,,33,4,,n/a,FL_11,,,,,,,,,,random_driver|blame_noah|blame_robocar|blame_robodrive,random_driver|anger_robodrive|moral_bad_robodrive|punish_robodrive,random_driver|protest_robodrive|nonlike_robodrive|volunteer_robodrive|likeminded_robodrive|donate_robodrive|soc_media_robodrive
7/6/21 23:51,7/6/21 23:53,0,108.31.82.249,100,145,1,7/6/21 23:53,R_2aLw3ty3glr33Lr,,,,,39.13609314,-77.28240204,anonymous,EN,2,2,,,,,,,,,,,,,,,0,0,100,0,0,0,0,0,0,71,72,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,39,3,,,FL_9,,,,intentional_driver|blame_noah|blame_robodrive|blame_robocar,intentional_driver|moral_bad_robodrive|anger_robodrive|punish_robodrive,intentional_driver|donate_robodrive|likeminded_robodrive|nonlike_robodrive|soc_media_robodrive|volunteer_robodrive|protest_robodrive,,,,,,
7/6/21 23:52,7/6/21 23:53,0,73.19.181.12,100,90,1,7/6/21 23:53,R_1r3zU3SomIxWHos,,,,,30.456604,-84.32230377,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,70,50,2,1,10,0,0,0,0,50,50,2,2,,,,,,,,,,,,,,,2,,3,,38,5,,No comment.,FL_10,,,,,,,random_pedestri|blame_robodrive|blame_noah|blame_robocar,random_pedestri|moral_bad_robodrive|anger_robodrive|punish_robodrive,random_pedestri|nonlike_robodrive|likeminded_robodrive|volunteer_robodrive|soc_media_robodrive|donate_robodrive|protest_robodrive,,,
7/6/21 23:51,7/6/21 23:55,0,73.245.123.35,100,234,1,7/6/21 23:55,R_1riH3IDG0Anmm3i,,,,,26.59910583,-80.12840271,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,100,100,100,50,50,50,100,100,50,2,1,2,,1,,69,2,,,FL_11,,,,,,,,,,random_driver|blame_robocar|blame_robodrive|blame_noah,random_driver|anger_robodrive|moral_bad_robodrive|punish_robodrive,random_driver|soc_media_robodrive|likeminded_robodrive|nonlike_robodrive|donate_robodrive|protest_robodrive|volunteer_robodrive
