StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,att1,att2,blame_noah_1,blame_robocar_1,blame_robodrive_1,anger_robodrive_1,punish_robodrive_1,moral_bad_robodrive_1,AC_3_intent_pedestri,AC_4_intent_pedestri,blame_noah_1,blame_robocar_1,blame_robodrive_1,anger_robodrive_1,punish_robodrive_1,moral_bad_robodrive_1,AC_3_intent_driver,AC_4_intent_driver,blame_noah_1,blame_robocar_1,blame_robodrive_1,anger_robodrive_1,punish_robodrive_1,moral_bad_robodrive_1,AC_3_random_pedestri,AC_4_random_pedestri,blame_noah_1,blame_robocar_1,blame_robodrive_1,anger_robodrive_1,punish_robodrive_1,moral_bad_robodrive_1,AC_3_random_driver,AC_4_random_driver,gender,gender_4_TEXT,ethnicity,ethnicity_5_TEXT,age,education,education_9_TEXT,comments,FL_4_DO,Page1:BlameworthinessQuestions_DO,Page2:MoralOutrageQuestions_DO,Page1:BlameworthinessQuestions_DO,Page2:MoralOutrageQuestions_DO,Page1:BlameworthinessQuestions_DO,Page2:MoralOutrageQuestions_DO,Page1:BlameworthinessQuestions_DO,Page2:MoralOutrageQuestions_DO
7/10/21 1:16,7/10/21 1:17,0,104.1.76.54,100,81,1,7/10/21 1:17,R_1DDcRaKej17EpWc,,,,,42.19169617,-85.63220215,anonymous,EN,2,2,,,,,,,,,93,100,100,98,100,97,1,2,,,,,,,,,,,,,,,,,2,,1,,31,5,,none,FL_9,,,intentional_driver|blame_robodrive|blame_noah|blame_robocar,intentional_driver|anger_robodrive|moral_bad_robodrive|punish_robodrive,,,,
7/10/21 1:16,7/10/21 1:17,0,98.115.57.160,100,81,1,7/10/21 1:17,R_1PSF684U6wjQKYJ,,,,,40.12150574,-75.32689667,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,100,100,100,100,2,1,1,,1,,40,5,,None,FL_11,,,,,,,random_driver|blame_noah|blame_robocar|blame_robodrive,random_driver|anger_robodrive|moral_bad_robodrive|punish_robodrive
7/10/21 1:16,7/10/21 1:17,0,70.179.46.77,100,66,1,7/10/21 1:17,R_21GMQRSFw6jv8B4,,,,,32.76379395,-117.0699997,anonymous,EN,2,2,,,,,,,,,,,,,,,,,91,100,90,90,90,81,2,2,,,,,,,,,1,,4,,27,4,,,FL_10,,,,,random_pedestri|blame_noah|blame_robodrive|blame_robocar,random_pedestri|moral_bad_robodrive|anger_robodrive|punish_robodrive,,
7/10/21 1:16,7/10/21 1:17,0,108.31.82.249,100,57,1,7/10/21 1:17,R_28NCgk6jYfHE3Zv,,,,,39.13609314,-77.28240204,anonymous,EN,2,2,,,,,,,,,,,,,,,,,,,,,,,,,71,0,100,100,100,100,2,1,2,,3,,39,3,,,FL_11,,,,,,,random_driver|blame_robodrive|blame_robocar|blame_noah,random_driver|punish_robodrive|anger_robodrive|moral_bad_robodrive
7/10/21 1:16,7/10/21 1:18,0,98.181.55.190,100,82,1,7/10/21 1:18,R_2qemKZghZhRomBg,,,,,30.45489502,-90.9029007,anonymous,EN,2,2,10,98,67,34,7,87,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,35,6,,,FL_8,intentional_pedestri|blame_robodrive|blame_noah|blame_robocar,intentional_pedestri|moral_bad_robodrive|anger_robodrive|punish_robodrive,,,,,,
7/10/21 1:16,7/10/21 1:18,0,206.255.173.111,100,78,1,7/10/21 1:18,R_1LiNsBLg84kJHHE,,,,,35.24360657,-91.73130035,anonymous,EN,2,2,,,,,,,,,,,,,,,,,95,100,100,82,72,100,2,2,,,,,,,,,2,,1,,47,5,,,FL_10,,,,,random_pedestri|blame_robocar|blame_robodrive|blame_noah,random_pedestri|moral_bad_robodrive|punish_robodrive|anger_robodrive,,
7/10/21 1:16,7/10/21 1:18,0,75.70.44.41,100,107,1,7/10/21 1:18,R_1pVDadjKPiBatwR,,,,,39.8690033,-104.9766998,anonymous,EN,2,2,,,,,,,,,17,1,92,90,67,82,1,1,,,,,,,,,,,,,,,,,1,,1,,59,5,,none,FL_9,,,intentional_driver|blame_robodrive|blame_noah|blame_robocar,intentional_driver|anger_robodrive|moral_bad_robodrive|punish_robodrive,,,,
7/10/21 1:16,7/10/21 1:18,0,96.36.76.131,100,122,1,7/10/21 1:18,R_pzQ6m33QWdoaQaB,,,,,34.93339539,-81.96890259,anonymous,EN,2,2,20,50,71,19,29,38,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,33,6,,,FL_8,intentional_pedestri|blame_noah|blame_robocar|blame_robodrive,intentional_pedestri|anger_robodrive|punish_robodrive|moral_bad_robodrive,,,,,,
7/10/21 1:18,7/10/21 1:19,0,64.121.102.112,100,55,1,7/10/21 1:19,R_1PTS4kmNHvNWy8j,,,,,40.58850098,-75.46420288,anonymous,EN,2,2,82,62,62,24,71,51,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,29,5,,,FL_8,intentional_pedestri|blame_robocar|blame_noah|blame_robodrive,intentional_pedestri|moral_bad_robodrive|anger_robodrive|punish_robodrive,,,,,,
7/10/21 1:19,7/10/21 1:20,0,24.18.153.117,100,59,1,7/10/21 1:20,R_blxv8BKh6gEy289,,,,,47.32359314,-122.3186951,anonymous,EN,2,2,,,,,,,,,50,0,100,20,10,5,1,1,,,,,,,,,,,,,,,,,1,,1,,30,5,,,FL_9,,,intentional_driver|blame_robocar|blame_robodrive|blame_noah,intentional_driver|anger_robodrive|punish_robodrive|moral_bad_robodrive,,,,
