StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,TP_unforced,fp_unforced,tp_forced,fp_forced,comp1,comp2,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,ses,ses_8_TEXT,FL_9_DO
7/23/21 15:08,7/23/21 15:08,0,172.58.102.159,100,10,1,7/23/21 15:08,R_3eaCBczaAPciV63,,,,,29.75450134,-95.40930176,anonymous,EN,1,,,,,,,,,,,,,,,,
7/23/21 15:08,7/23/21 15:09,0,99.103.122.86,100,35,1,7/23/21 15:09,R_1Cv8iLQZijG8w9h,,,,,29.54220581,-95.32119751,anonymous,EN,2,2,2,3,,,,1,2,1,,3,,25,3,,TP_unforced
7/23/21 15:08,7/23/21 15:09,0,216.106.30.98,100,55,1,7/23/21 15:09,R_ve2dWl58qVWYJrj,,,,,38.57730103,-92.24430084,anonymous,EN,2,2,2,3,,,,1,2,1,,3,,31,4,,TP_unforced
7/23/21 15:08,7/23/21 15:09,0,206.195.145.199,100,63,1,7/23/21 15:09,R_2ePZ1YdNAs2jGF4,,,,,35.97099304,-80.00789642,anonymous,EN,2,2,2,,,1,,1,1,2,,3,,41,4,,TP_forced
7/23/21 15:08,7/23/21 15:09,0,107.11.182.13,100,87,1,7/23/21 15:09,R_1HA0JVIXQwC8s9P,,,,,40.27380371,-81.86620331,anonymous,EN,2,2,2,,,1,,1,1,2,,3,,46,4,,TP_forced
7/23/21 15:08,7/23/21 15:10,0,24.184.221.46,100,91,1,7/23/21 15:10,R_26kGyRe45TqCJb5,,,,,41.21530151,-73.12329865,anonymous,EN,2,2,2,,3,,,2,2,1,,3,,22,4,,FP_unforced
7/23/21 15:09,7/23/21 15:10,0,71.115.145.137,100,56,1,7/23/21 15:10,R_1CJwP77myaslqsm,,,,,43.15710449,-76.32800293,anonymous,EN,2,2,2,1,,,,1,2,1,,3,,31,4,,TP_unforced
7/23/21 15:08,7/23/21 15:10,0,68.59.86.220,100,116,1,7/23/21 15:10,R_24IA3SNQXvDrxJv,,,,,30.21080017,-84.32050323,anonymous,EN,2,2,2,,,,1,2,1,2,,3,,44,4,,FP_forced
7/23/21 15:08,7/23/21 15:10,0,99.25.96.104,100,126,1,7/23/21 15:10,R_OiMsAC747tVxCtH,,,,,41.3704071,-81.85870361,anonymous,EN,2,2,2,,3,,,,2,3,,2,,48,6,,FP_unforced
7/23/21 15:09,7/23/21 15:10,0,107.142.215.204,100,58,1,7/23/21 15:10,R_31nkBXVUNPTrCgO,,,,,34.02900696,-118.4004974,anonymous,EN,2,2,2,,,2,,1,1,1,,3,,33,4,,TP_forced
7/23/21 15:08,7/23/21 15:11,0,68.131.241.245,100,149,1,7/23/21 15:11,R_2t3WWDLp4jqegzV,,,,,36.79690552,-76.17970276,anonymous,EN,2,2,2,,,,1,2,1,2,,3,,45,1,,FP_forced
7/23/21 15:10,7/23/21 15:11,0,162.211.34.219,100,75,1,7/23/21 15:11,R_RrjsAUG6rtPHCsp,,,,,40.46929932,-88.94239807,anonymous,EN,2,2,2,3,,,,1,2,2,,3,,28,4,,TP_unforced
7/23/21 15:10,7/23/21 15:11,0,174.27.29.220,100,57,1,7/23/21 15:11,R_2xQ4hllg6FySAi3,,,,,43.57800293,-116.2953949,anonymous,EN,2,2,2,,,1,,1,1,2,,3,,64,4,,TP_forced
7/23/21 15:10,7/23/21 15:12,0,76.210.16.176,100,108,1,7/23/21 15:12,R_3EGylE2eJjev83l,,,,,33.68710327,-84.15100098,anonymous,EN,2,2,2,,,,2,2,1,1,,3,,,1,,FP_forced
7/23/21 15:11,7/23/21 15:12,0,73.109.72.68,100,54,1,7/23/21 15:12,R_3htjoG9dfDW1elu,,,,,47.57409668,-122.3974991,anonymous,EN,2,2,2,2,,,,1,2,1,,3,,40,3,,TP_unforced
