StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent_q,att1,att2,combination1,combination1_DO,combination2,combination2_DO,combination3,combination3_DO,combination4,combination4_DO,combination5,combination5_DO,combination6,combination6_DO,pk_egal_1,sk_egal_1,ck_egal_1,pk_selfish_1,sk_selfish_1,ck_selfish_1,pk_alibi_1,sk_alibi_1,ck_alibi_1,comp1,comp2,FL_12_DO,FL_27_DO
1/12/23 12:06,1/12/23 12:09,0,100,148,1,1/12/23 12:09,R_24BPSVCVw7i27PG,anonymous,EN,1,2,2,,,1,3|2|1,,,,,,,,,11,2,5,27,29,29,29,30,30,1,2,page1.2,page4|page3|page2
1/12/23 12:10,1/12/23 12:14,0,100,214,1,1/12/23 12:14,R_1JXCiNfADBKl38B,anonymous,EN,1,2,2,,,,,3,2|1|3,,,,,,,28,0,27,35,9,26,32,10,30,1,3,page1.3,page3|page4|page2
1/12/23 12:19,1/12/23 12:21,0,100,131,1,1/12/23 12:21,R_1FRFjMJLUSG82A5,anonymous,EN,1,2,2,,,,,,,,,1,2|3|1,,,2,0,0,23,16,18,6,17,12,1,2,page1.5,page3|page4|page2
1/12/23 12:33,1/12/23 12:35,0,100,126,1,1/12/23 12:35,R_cTHiWjPrHeSizrr,anonymous,EN,1,2,2,,,,,1,3|1|2,,,,,,,9,9,9,9,9,9,9,9,9,1,3,page1.3,page2|page3|page4
1/12/23 12:32,1/12/23 12:35,0,100,220,1,1/12/23 12:35,R_3KMWV4sXP3iUzjj,anonymous,EN,1,2,2,3,3|1|2,,,,,,,,,,,40,12,9,70,57,62,50,40,20,1,2,page1.1,page4|page2|page3
1/12/23 12:30,1/12/23 12:36,0,100,397,1,1/12/23 12:36,R_ehVJzE7zssTLObn,anonymous,EN,1,2,2,,,,,,,1,2|1|3,,,,,40,30,30,80,30,30,80,30,30,1,2,page1.4,page3|page2|page4
1/12/23 12:36,1/12/23 12:40,0,100,209,1,1/12/23 12:40,R_1Hqlr9SdHXNwtwA,anonymous,EN,1,2,2,3,1|3|2,,,,,,,,,,,15,13,23,17,21,59,22,31,36,1,2,page1.1,page3|page4|page2
1/12/23 12:38,1/12/23 12:40,0,100,123,1,1/12/23 12:40,R_3psBX8Vh3ZyhzzX,anonymous,EN,1,2,2,,,1,2|3|1,,,,,,,,,0,0,0,100,100,100,100,100,100,1,2,page1.2,page2|page3|page4
1/12/23 12:41,1/12/23 12:44,0,100,143,1,1/12/23 12:44,R_eA7aU5GHThyFotz,anonymous,EN,1,2,2,,,,,,,1,1|3|2,,,,,50,38,32,60,62,65,70,67,70,1,2,page1.4,page3|page2|page4
1/12/23 12:41,1/12/23 12:44,0,100,162,1,1/12/23 12:44,R_3j6ufBcIiwtaidR,anonymous,EN,1,2,2,,,,,,,,,3,2|3|1,,,50,50,50,50,50,50,50,50,50,1,2,page1.5,page3|page4|page2
1/12/23 12:42,1/12/23 12:48,0,100,358,1,1/12/23 12:48,R_2rYo0IkPJ3iA8tR,anonymous,EN,1,2,2,,,,,,,,,,,3,2|1|3,25,12,13,27,21,64,9,17,25,3,3,page1.6,page3|page4|page2
1/12/23 12:45,1/12/23 12:50,0,100,281,1,1/12/23 12:50,R_296ppMjnGdj8MTM,anonymous,EN,1,2,2,,,,,,,,,,,1,1|2|3,0,0,0,100,100,100,100,100,100,1,2,page1.6,page4|page2|page3
