StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,two_choices,three_choices,comp1,comp2,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,ses,ses_8_TEXT,FL_9_DO
1/6/23 12:20,1/6/23 12:20,0,73.234.2.117,100,5,1,1/6/23 12:20,R_2xFg4bgaq1fEgkf,,,,,41.4939,-73.0517,anonymous,EN,1,,,,,,,,,,,,,,
1/6/23 12:20,1/6/23 12:21,0,73.234.2.117,100,57,1,1/6/23 12:21,R_2tDWAicLDkv7AF7,,,,,41.4939,-73.0517,anonymous,EN,2,2,2,,3,2,1,1,,3,,44,3,,three_choices
1/6/23 12:29,1/6/23 12:29,0,174.249.134.45,100,9,1,1/6/23 12:29,R_1dBorzL5YemMp2i,,,,,37.6403,-122.0667,anonymous,EN,1,,,,,,,,,,,,,,
1/6/23 12:24,1/6/23 12:30,0,68.201.29.55,100,403,1,1/6/23 12:30,R_1pGtloNs7o63ugy,,,,,33.8557,-98.5793,anonymous,EN,2,2,2,1,,2,2,2,,3,,55,1,,two_choices
1/6/23 12:31,1/6/23 12:32,0,24.34.148.243,100,93,1,1/6/23 12:32,R_1mV1KAPGmC9sAbX,,,,,43.577,-73.0349,anonymous,EN,2,2,2,,3,3,3,2,,3,,44,4,,three_choices
1/6/23 12:32,1/6/23 12:33,0,156.99.211.221,100,89,1,1/6/23 12:33,R_yIlGWWK4eo97Kkp,,,,,45.5428,-94.1871,anonymous,EN,2,2,2,1,,2,3,2,,4,,34,5,,two_choices
1/6/23 12:32,1/6/23 12:35,0,172.59.153.34,100,155,1,1/6/23 12:35,R_1rHabYYc65fGHwX,,,,,40.6596,-111.9195,anonymous,EN,2,2,1,,3,3,2,2,,3,,66,2,,three_choices
1/6/23 12:34,1/6/23 12:36,0,174.87.90.114,100,138,1,1/6/23 12:36,R_3Oqqv83zdkkiISo,,,,,37.5234,-120.8517,anonymous,EN,2,2,2,,3,2,1,1,,3,,35,1,,three_choices
1/6/23 12:35,1/6/23 12:38,0,172.56.80.57,100,204,1,1/6/23 12:38,R_2VJbLHzPPKXnoQ1,,,,,33.4494,-112.1941,anonymous,EN,2,2,1,,3,2,2,1,,3,,38,4,,three_choices
1/6/23 12:36,1/6/23 12:39,0,172.59.25.167,100,140,1,1/6/23 12:39,R_zdjjKwB9V7YoO7D,,,,,41.452,-81.6146,anonymous,EN,2,2,2,1,,3,2,1,,3,,59,1,,two_choices
1/6/23 12:37,1/6/23 12:41,0,67.140.166.119,100,245,1,1/6/23 12:41,R_3Rg8QIoGKwQ95tp,,,,,37.3167,-84.9735,anonymous,EN,2,2,2,1,,2,2,2,,3,,51,5,,two_choices
1/6/23 12:41,1/6/23 12:43,0,107.77.223.123,100,86,1,1/6/23 12:43,R_2XmuseVPGWlup3z,,,,,40.7494,-73.9664,anonymous,EN,2,2,2,,3,2,2,2,,3,,34,5,,three_choices
1/6/23 12:46,1/6/23 12:47,0,174.192.72.203,100,64,1,1/6/23 12:47,R_sqaIqAFVK1LPnVv,,,,,42.1177,-88.2628,anonymous,EN,2,2,2,1,,2,3,2,,3,,29,5,,two_choices
1/6/23 12:45,1/6/23 12:47,0,67.14.246.200,100,97,1,1/6/23 12:47,R_21sNHU6E59zcDNo,,,,,26.4525,-80.1562,anonymous,EN,2,2,2,1,,2,1,1,,3,,21,4,,two_choices
1/6/23 12:46,1/6/23 12:48,0,131.93.1.42,100,92,1,1/6/23 12:48,R_2Ufp047e5lo64qc,,,,,45.636,-94.217,anonymous,EN,2,2,2,,3,3,2,1,,3,,37,3,,three_choices
1/6/23 12:46,1/6/23 12:48,0,98.121.57.104,100,130,1,1/6/23 12:48,R_2w4SMuaS9L5Xnki,,,,,35.8846,-78.6385,anonymous,EN,2,2,2,,3,2,2,2,,3,,23,4,,three_choices
1/6/23 12:46,1/6/23 12:48,0,174.209.96.252,100,119,1,1/6/23 12:48,R_3flTLTrjbV1qoKO,,,,,33.8513,-84.287,anonymous,EN,2,2,2,,3,3,3,1,,3,,40,4,,three_choices
1/6/23 12:47,1/6/23 12:48,0,98.226.168.124,100,60,1,1/6/23 12:48,R_s4Z9B5ifbdHuN1v,,,,,42.0128,-88.0967,anonymous,EN,2,2,2,1,,2,1,2,,3,,35,4,,two_choices
1/6/23 12:47,1/6/23 12:48,0,174.61.103.159,100,107,1,1/6/23 12:48,R_1QLCLdzUTI8GjfQ,,,,,25.9436,-80.2264,anonymous,EN,2,2,2,1,,2,2,2,,4,,36,1,,two_choices
1/6/23 12:47,1/6/23 12:48,0,74.135.81.119,100,107,1,1/6/23 12:48,R_3iVTxZwRu5gD7kA,,,,,39.6062,-84.1695,anonymous,EN,2,2,2,,3,3,3,2,,3,,63,2,,three_choices
1/6/23 12:47,1/6/23 12:49,0,50.204.191.18,100,121,1,1/6/23 12:49,R_2VqquoZFEj9BZd1,,,,,42.509,-71.1984,anonymous,EN,2,2,2,1,,2,2,1,,3,,30,4,,two_choices
1/6/23 12:47,1/6/23 12:49,0,68.185.104.6,100,104,1,1/6/23 12:49,R_4INHpeOkmjRdR2F,,,,,38.5793,-90.422,anonymous,EN,2,2,2,,3,2,2,1,,3,,35,5,,three_choices
1/6/23 12:49,1/6/23 12:51,0,67.84.98.137,100,98,1,1/6/23 12:51,R_2zdSMXhgx6MGYYs,,,,,40.9124,-74.4113,anonymous,EN,2,2,2,2,,3,3,2,,3,,20,3,,two_choices
1/6/23 12:49,1/6/23 12:51,0,98.208.72.59,100,79,1,1/6/23 12:51,R_sAVDsw2GjUE5WHn,,,,,38.596,-121.2127,anonymous,EN,2,2,2,,3,3,2,1,,3,,47,4,,three_choices
1/6/23 12:50,1/6/23 12:51,0,162.216.14.66,100,107,1,1/6/23 12:51,R_2VNKVFNsfHZWLDt,,,,,42.2314,-83.6344,anonymous,EN,2,2,2,1,,2,2,2,,1,,22,3,,two_choices
1/6/23 12:50,1/6/23 12:52,0,68.0.77.253,100,92,1,1/6/23 12:52,R_3k5IlgESUFEPSCx,,,,,36.013,-95.9767,anonymous,EN,2,2,2,,3,2,2,1,,3,,55,5,,three_choices
1/6/23 12:50,1/6/23 12:52,0,96.233.54.72,100,69,1,1/6/23 12:52,R_3fDzgTTHogKkeuk,,,,,42.1186,-70.9576,anonymous,EN,2,2,2,1,,3,2,1,,3,,31,5,,two_choices
1/6/23 12:51,1/6/23 12:52,0,207.162.145.126,100,65,1,1/6/23 12:52,R_33wpzOdRyauWNy4,,,,,36.013,-95.9767,anonymous,EN,2,2,2,1,,2,2,2,,3,,46,5,,two_choices
